Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P54114,Aldehyde dehydrogenase [NAD(P)+] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD3 PE=1 SV=1,ALD3,8,8,1.196,1.211,1.21,0.835,0.826,0.814,1.194,1.092,0.998,Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737],22,9
P38075,Pyridoxamine 5'-phosphate oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDX3 PE=1 SV=1,PDX3,7,7,1.027,0.853,0.914,0.792,0.892,0.89,0.859,0.83,0.744,Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,mitochondrial intermembrane space [GO:0005758],38,9
Q04322,Probable GTPase-activating protein GYL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYL1 PE=1 SV=1,GYL1,7,7,1.38,1.29,1.691,0.663,0.708,0.738,0.831,0.791,0.708,Cytoplasm {ECO:0000269|PubMed:15331637}. Bud {ECO:0000269|PubMed:15331637}. Bud neck {ECO:0000269|PubMed:15331637}.,cellular bud tip [GO:0005934];Golgi-associated vesicle [GO:0005798];incipient cellular bud site [GO:0000131];plasma membrane [GO:0005886];cellular bud neck [GO:0005935],11,9
Q12743,DER1-like family member protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DFM1 PE=1 SV=1,DFM1,6,6,1.181,1.008,1.098,0.927,0.817,0.621,1.043,0.763,0.483,"Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15093775}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15093775}",endoplasmic reticulum membrane [GO:0005789];integral component of membrane [GO:0016021];endoplasmic reticulum [GO:0005783],25,9
P57744,Mitochondrial import inner membrane translocase subunit TIM8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM8 PE=1 SV=1,TIM8,5,5,0.771,0.831,0.639,1.095,1.275,1.358,1.35,1.704,2.383,"Intermembrane side {ECO:0000269|PubMed:10397776, ECO:0000269|PubMed:10469659}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}. Note=Import into inner membrane protein requires TIM5 function.;Peripheral membrane protein {ECO:0000269|PubMed:10397776, ECO:0000269|PubMed:10469659, ECO:0000269|PubMed:16823961};Mitochondrion inner membrane {ECO:0000269|PubMed:10397776, ECO:0000269|PubMed:10469659, ECO:0000269|PubMed:16823961}",mitochondrial intermembrane space [GO:0005758];mitochondrial intermembrane space protein transporter complex [GO:0042719];mitochondrial inner membrane [GO:0005743],61,9
Q06146,Uncharacterized protein YLR257W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR257W PE=1 SV=1,,7,7,1.486,1.83,1.688,0.65,0.734,0.701,1.098,0.983,0.937,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],35,9
Q07362,Protein PBP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBP4 PE=1 SV=1,PBP4,7,7,0.79,0.939,0.85,0.61,0.782,0.631,1.087,0.758,0.681,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasmic stress granule [GO:0010494],40,9
P38345,"Succinate dehydrogenase assembly factor 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH8 PE=1 SV=2",SDH8,7,7,0.765,0.771,0.712,1.657,1.98,1.674,1.44,1.362,2.102,"Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:24954416}.","mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749];mitochondrial matrix [GO:0005759]",51,9
P52918,Protein MSN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSN5 PE=1 SV=1,MSN5,6,5,1.311,1.363,1.416,1.117,1.133,0.959,1.1,1.056,0.833,,nucleus [GO:0005634];RNA nuclear export complex [GO:0042565];cytoplasm [GO:0005737],6,9
P32495,H/ACA ribonucleoprotein complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP2 PE=1 SV=2,NHP2,5,5,0.661,1.899,0.796,0.947,0.966,0.517,1.219,0.739,0.274,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9843512}.",nucleolus [GO:0005730];small nucleolar ribonucleoprotein complex [GO:0005732];box H/ACA snoRNP complex [GO:0031429],34,9
Q03941,Dephospho-CoA kinase CAB5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAB5 PE=1 SV=1,CAB5,5,5,1.108,0.959,1.187,1.028,0.95,0.945,1.066,1.076,1.011,"Endoplasmic reticulum {ECO:0000269|PubMed:14690591}. Mitochondrion {ECO:0000269|PubMed:14690591, ECO:0000269|PubMed:16823961}. Nucleus {ECO:0000269|PubMed:14690591}. Note=Nuclear envelope. {ECO:0000269|PubMed:14690591}.",endoplasmic reticulum [GO:0005783];lipid droplet [GO:0005811];mitochondrion [GO:0005739];nucleus [GO:0005634];CoA-synthesizing protein complex [GO:1990143],13,9
Q05027,Transcription initiation factor TFIID subunit 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF9 PE=1 SV=1,TAF9,6,6,0.583,0.979,0.815,1.113,1.196,0.769,0.949,0.553,0.311,Nucleus {ECO:0000269|PubMed:14562095}.,SLIK (SAGA-like) complex [GO:0046695];transcription factor TFIID complex [GO:0005669];SAGA complex [GO:0000124],52,9
P40007,Nucleolar protein 16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP16 PE=1 SV=1,NOP16,7,7,0.869,1.338,0.958,1.058,1.035,0.715,1.377,0.86,0.48,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.","nucleus [GO:0005634];preribosome, large subunit precursor [GO:0030687];nucleolus [GO:0005730]",29,9
P05375,Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OPI3 PE=1 SV=1,OPI3,3,3,1.122,0.908,1.051,1.184,1.096,0.851,0.848,0.698,0.408,"Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03216}.;Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03216}. Mitochondrion membrane {ECO:0000255|HAMAP-Rule:MF_03216, ECO:0000269|PubMed:14576278};Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03216, ECO:0000269|PubMed:14562095}",integral component of membrane [GO:0016021];mitochondrial membrane [GO:0031966];endoplasmic reticulum membrane [GO:0005789],18,9
Q03722,Uncharacterized protein YML020W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YML020W PE=1 SV=1,,9,9,1.028,0.968,1.044,1.055,1.059,1.086,1.056,1.043,1.083,,,13,9
Q08235,Ribosome biogenesis protein BRX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BRX1 PE=1 SV=2,BRX1,5,5,0.761,1.544,0.792,0.966,0.998,0.682,1.362,0.749,0.393,"Nucleus, nucleolus {ECO:0000269|PubMed:11843177, ECO:0000269|PubMed:14562095}.","preribosome, large subunit precursor [GO:0030687];nucleolus [GO:0005730]",21,9
P18963,Inhibitory regulator protein IRA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRA1 PE=1 SV=2,IRA1,9,9,1.478,1.19,1.247,0.919,0.996,0.919,1.127,0.977,0.788,Cytoplasm {ECO:0000269|PubMed:14562095}.,intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235];membrane [GO:0016020];cytoplasm [GO:0005737],3,9
P36156,Glutathione S-transferase omega-like 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM4 PE=1 SV=1,ECM4,8,8,0.464,0.421,0.387,1.279,1.083,1.406,1.044,1.321,1.486,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16936141}.",cytoplasm [GO:0005737],26,9
P00546,Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,CDC28,7,5,1.356,1.146,1.428,0.915,0.969,0.831,0.9,0.854,0.671,,cyclin-dependent protein kinase holoenzyme complex [GO:0000307];cytoplasm [GO:0005737];cytoplasmic stress granule [GO:0010494];endoplasmic reticulum [GO:0005783];mitotic spindle [GO:0072686];nucleus [GO:0005634];cellular bud neck [GO:0005935],21,9
Q03768,Protein GIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIR2 PE=1 SV=1,GIR2,4,4,1.977,2.068,2.198,1.096,1.124,1.018,1.078,0.956,0.684,,polysome [GO:0005844],21,9
P22696,Peptidyl-prolyl cis-trans isomerase ESS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESS1 PE=1 SV=3,ESS1,9,9,1.027,1.175,1.285,1.056,0.971,0.803,1.028,0.826,0.662,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],62,9
P36141,"Putative redox protein FMP46, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP46 PE=1 SV=1",FMP46,7,7,0.483,0.376,0.401,0.975,0.923,1.179,0.698,1.032,0.941,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],54,9
P21242,Probable proteasome subunit alpha type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE10 PE=1 SV=2,PRE10,5,5,1.167,1.127,1.179,0.798,0.889,0.745,0.897,0.788,0.596,Cytoplasm. Nucleus.,"nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175];nucleus [GO:0005634];proteasome core complex, alpha-subunit complex [GO:0019773];proteasome storage granule [GO:0034515];cytoplasm [GO:0005737]",18,9
P32769,Elongation factor 1 alpha-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HBS1 PE=1 SV=2,HBS1,7,6,1.343,1.314,1.352,0.967,1.007,0.989,0.996,0.95,0.768,Cytoplasm {ECO:0000269|PubMed:14562095}.,Dom34-Hbs1 complex [GO:1990533];cytoplasm [GO:0005737],12,9
P17157,Cyclin-dependent protein kinase PHO85 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO85 PE=1 SV=2,PHO85,7,5,1.081,0.929,1.106,0.917,0.976,0.944,0.851,0.81,0.668,Cytoplasm. Nucleus.,cytoplasm [GO:0005737];nucleus [GO:0005634];Pho85-Pho80 CDK-cyclin complex [GO:1990860];cyclin-dependent protein kinase holoenzyme complex [GO:0000307],20,9
P36526,"54S ribosomal protein L27, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL27 PE=1 SV=2",MRPL27,6,6,0.553,0.493,0.437,0.998,0.812,1.072,0.833,1.121,1.334,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.",mitochondrial large ribosomal subunit [GO:0005762],45,9
Q04002,Sister chromatid cohesion protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCC2 PE=1 SV=1,SCC2,9,9,0.778,1.285,0.92,1.472,1.382,0.839,1.286,0.888,0.454,"Nucleus {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:25173104, ECO:0000269|PubMed:26038942}. Chromosome, centromere {ECO:0000269|PubMed:26038942}. Note=Associates with chromatin. {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:25173104, ECO:0000269|PubMed:26038942}.","chromosome, centromeric region [GO:0000775];cytosol [GO:0005829];nuclear chromatin [GO:0000790];nucleus [GO:0005634];SMC loading complex [GO:0032116];2-micrometer circle DNA [GO:0005729]",6,9
P52919,NAP1-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBP1 PE=1 SV=1,NBP1,6,6,1.185,1.156,1.54,0.862,0.955,0.721,0.947,0.613,0.282,,integral component of nuclear inner membrane [GO:0005639];spindle pole body [GO:0005816];central plaque of spindle pole body [GO:0005823],19,9
P39993,ARF guanine-nucleotide exchange factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA2 PE=1 SV=1,GEA2,9,9,1.266,1.738,1.477,1.038,1.031,0.948,1.168,0.942,0.61,"Peripheral membrane protein {ECO:0000269|PubMed:12808035}. Note=Soluble and partially membrane-bound.;Cytoplasm, cytosol {ECO:0000269|PubMed:12808035}. Membrane {ECO:0000269|PubMed:12808035}",extrinsic component of membrane [GO:0019898];Golgi cis cisterna [GO:0000137];trans-Golgi network [GO:0005802];cytosol [GO:0005829],9,9
P53759,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUS1 PE=1 SV=1,DUS1,7,7,1.026,0.984,0.873,1.025,0.956,1.093,1.085,1.181,1.403,,,19,9
P40362,U3 small nucleolar RNA-associated protein 18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP18 PE=1 SV=1,UTP18,8,8,0.776,1.878,0.797,1.05,1.095,0.716,1.161,0.873,0.541,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15590835}.",nucleoplasm [GO:0005654];Pwp2p-containing subcomplex of 90S preribosome [GO:0034388];small-subunit processome [GO:0032040];nucleolus [GO:0005730],18,9
P39515,Mitochondrial import inner membrane translocase subunit TIM17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM17 PE=1 SV=1,TIM17,3,3,0.908,0.837,0.764,1.056,0.935,1.192,1.096,1.321,1.764,Multi-pass membrane protein.;Mitochondrion inner membrane {ECO:0000305|PubMed:27265872},mitochondrial inner membrane [GO:0005743];mitochondrial inner membrane presequence translocase complex [GO:0005744];mitochondrial intermembrane space [GO:0005758];integral component of mitochondrial inner membrane [GO:0031305],25,9
P38719,ATP-dependent RNA helicase DBP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP8 PE=1 SV=1,DBP8,9,9,1.019,1.278,1.127,0.701,0.66,0.6,0.963,0.745,0.616,"Nucleus, nucleolus {ECO:0000269|PubMed:11222764, ECO:0000269|PubMed:14562095}.",nucleolus [GO:0005730];nucleoplasm [GO:0005654];cytoplasm [GO:0005737],23,9
Q06389,Calcium-binding protein NCS-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRQ1 PE=1 SV=2,FRQ1,4,4,1.327,1.042,1.363,0.935,0.865,0.961,0.907,0.981,0.887,Peripheral membrane protein {ECO:0000269|PubMed:11015193}. Note=Buds and bud scars.;Bud membrane {ECO:0000269|PubMed:11015193},Golgi membrane [GO:0000139];cellular bud membrane [GO:0033101],28,9
P40462,Protein TMA108 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA108 PE=1 SV=1,TMA108,8,8,1.377,1.279,1.414,0.747,0.845,0.803,0.891,0.921,0.847,Cytoplasm {ECO:0000269|PubMed:14562095}.,nascent polypeptide-associated complex [GO:0005854],9,9
P26725,Probable mannosyltransferase YUR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YUR1 PE=1 SV=1,YUR1,7,6,1.267,1.004,1.196,1.167,1.086,1.107,1.203,0.843,0.578,Single-pass type II membrane protein.;Golgi apparatus membrane,Golgi membrane [GO:0000139];integral component of membrane [GO:0016021];Golgi apparatus [GO:0005794],18,9
Q03661,Silent chromatin protein ESC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESC1 PE=1 SV=1,ESC1,8,8,1.323,1.475,1.692,1.773,2.035,1.387,1.951,1.144,0.675,"Nucleus {ECO:0000269|PubMed:12417731, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15014445}. Note=Concentrated at the nuclear periphery.","nuclear periphery [GO:0034399];nuclear chromosome, telomeric region [GO:0000784]",5,9
P40578,Protein MGA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGA2 PE=1 SV=1,MGA2,9,9,0.874,1.13,1.015,1.257,1.252,0.936,1.077,0.743,0.541,Single-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},nucleus [GO:0005634];integral component of endoplasmic reticulum membrane [GO:0030176],10,9
P36169,Suppressor of lethality of KEX2 GAS1 double null mutant protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKG1 PE=1 SV=2,SKG1,8,8,1.464,0.868,1.145,0.812,0.847,0.728,0.853,0.846,0.691,"Cytoplasmic side. Bud membrane;Cytoplasmic side. Note=Localizes on the inner surface of the plasma membrane at the bud and in the daughter cell. Localizes at an incipient bud site in the cells with emerging buds, a bud tip in small- or medium-budded cells, and a cell periphery in large-budded cells.;Single-pass type III membrane protein;Cell membrane",cellular bud tip [GO:0005934];incipient cellular bud site [GO:0000131];integral component of membrane [GO:0016021];cellular bud membrane [GO:0033101],37,9
P32351,Sugar utilization regulatory protein IMP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMP2' PE=1 SV=2,IMP2',3,3,1.92,1.839,2.096,1.075,0.986,0.891,1.235,1.134,0.896,,,10,9
P47081,"Cytochrome c oxidase assembly protein COX16, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX16 PE=1 SV=1",COX16,6,6,0.688,0.638,0.541,1.362,1.203,1.486,0.831,1.06,1.251,Single-pass membrane protein {ECO:0000305}.;Mitochondrion inner membrane {ECO:0000305|PubMed:12446688},mitochondrial inner membrane [GO:0005743];integral component of membrane [GO:0016021],41,9
Q12153,Ribosome biogenesis protein SSF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSF2 PE=1 SV=1,SSF2,9,4,0.933,1.688,0.878,1.058,1.114,0.688,1.347,0.827,0.405,"Nucleus, nucleolus {ECO:0000269|PubMed:9611192}.","preribosome, large subunit precursor [GO:0030687];nucleolus [GO:0005730]",19,9
Q06287,Ribosomal RNA small subunit methyltransferase NEP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMG1 PE=1 SV=1,EMG1,6,6,0.934,1.611,1.04,0.966,1.042,0.697,1.19,0.859,0.565,"Nucleus, nucleolus {ECO:0000269|PubMed:11694595, ECO:0000269|PubMed:15590835, ECO:0000269|PubMed:20972225}.",cytoplasm [GO:0005737];nuclear microtubule [GO:0005880];nuclear periphery [GO:0034399];nucleolus [GO:0005730];nucleoplasm [GO:0005654];nucleus [GO:0005634];small-subunit processome [GO:0032040];90S preribosome [GO:0030686],27,9
P43639,Casein kinase II subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKB1 PE=1 SV=1,CKB1,6,6,1.357,1.688,1.612,1.455,1.454,1.116,1.495,1.063,0.677,,protein kinase CK2 complex [GO:0005956];UTP-C complex [GO:0034456];nucleoplasm [GO:0005654],25,9
Q08444,20S-pre-rRNA D-site endonuclease NOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOB1 PE=1 SV=1,NOB1,7,7,1.024,1.419,1.188,0.751,0.742,0.574,0.859,0.646,0.453,"Cytoplasm. Nucleus, nucleolus. Endoplasmic reticulum.","endoplasmic reticulum [GO:0005783];nucleolus [GO:0005730];nucleus [GO:0005634];preribosome, small subunit precursor [GO:0030688];cytoplasm [GO:0005737]",17,9
P53334,Probable family 17 glucosidase SCW4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCW4 PE=1 SV=1,SCW4,6,6,1.778,1.766,1.915,0.872,0.88,0.699,1.207,0.811,0.461,"Secreted, cell wall {ECO:0000269|PubMed:9748433}.",fungal-type cell wall [GO:0009277];vacuole [GO:0005773];extracellular region [GO:0005576],20,8
P10363,DNA primase small subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRI1 PE=1 SV=2,PRI1,6,6,1.121,1.266,1.013,1.132,1.151,0.967,1.093,0.928,0.708,,nuclear replication fork [GO:0043596];alpha DNA polymerase:primase complex [GO:0005658],15,8
O60200,Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM35 PE=1 SV=3,MDM35,5,5,0.902,0.807,0.655,1.078,1.141,1.207,1.232,1.487,1.74,"Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Mitochondrion intermembrane space {ECO:0000269|PubMed:17095012, ECO:0000269|PubMed:20622808, ECO:0000269|PubMed:20657548, ECO:0000269|PubMed:22984289}.",nucleus [GO:0005634];mitochondrial intermembrane space [GO:0005758],50,8
P38429,Transcriptional regulatory protein SAP30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAP30 PE=1 SV=2,SAP30,6,6,0.686,1.094,0.817,1.193,1.134,0.918,1.215,0.833,0.552,Nucleus {ECO:0000269|PubMed:14562095}.,Rpd3L complex [GO:0033698];histone deacetylase complex [GO:0000118],32,8
P25578,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGS1 PE=1 SV=4,PGS1,7,7,0.846,0.717,0.753,1.184,1.217,1.331,0.941,1.178,1.251,"Mitochondrion {ECO:0000269|PubMed:9545322, ECO:0000269|PubMed:9799363}.",mitochondrion [GO:0005739],16,8
Q12387,N-terminal acetyltransferase B complex subunit MDM20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDM20 PE=1 SV=1,MDM20,7,7,1.509,1.215,1.373,0.829,0.895,0.971,0.869,0.905,0.846,Cytoplasm {ECO:0000269|PubMed:14562095}.,NatB complex [GO:0031416],9,8
P38876,Peptidyl-tRNA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTH1 PE=1 SV=1,PTH1,6,6,0.771,0.591,0.563,1.259,1.109,1.397,1.059,1.502,1.731,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739],38,8
P38792,Exosome complex component RRP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP4 PE=1 SV=1,RRP4,8,8,1.052,1.294,1.184,0.838,0.992,0.709,1.05,0.782,0.561,"Cytoplasm. Nucleus, nucleolus.",nuclear exosome (RNase complex) [GO:0000176];nucleolus [GO:0005730];cytoplasmic exosome (RNase complex) [GO:0000177],30,8
P25373,Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1,GRX1,5,5,1.307,1.268,1.239,0.995,1.032,0.964,1.117,1.057,0.89,Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737],53,8
P40563,Altered inheritance of mitochondria protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM21 PE=1 SV=1,AIM21,7,7,1.537,1.543,1.762,1.157,1.234,1.085,1.109,0.984,0.852,"Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:19053807}. Note=Cortical actin patches. Localizes at the shmoo tip.",actin cortical patch [GO:0030479],9,8
O13297,mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CET1 PE=1 SV=2,CET1,7,7,1.024,1.141,0.902,1.232,1.148,0.97,0.948,0.89,0.666,Nucleus.,mRNA cap methyltransferase complex [GO:0031533],13,8
P36124,SET domain-containing protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SET3 PE=1 SV=1,SET3,7,7,0.557,1.248,0.969,1.417,1.501,0.947,1.619,0.764,0.344,,Set3 complex [GO:0034967],13,8
P28272,Dihydroorotate dehydrogenase (fumarate) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA1 PE=1 SV=1,URA1,5,5,1.432,1.238,1.357,0.666,0.746,0.746,0.981,0.862,0.739,Cytoplasm {ECO:0000269|PubMed:1409592}.,extrinsic component of membrane [GO:0019898];cytoplasm [GO:0005737],12,8
Q12010,Probable vacuolar amino acid transporter YPQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPQ1 PE=1 SV=1,YPQ1,3,3,1.734,1.258,1.699,0.723,0.703,0.724,0.645,0.661,0.586,"Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:23169667}.;Vacuole membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:23169667}",integral component of fungal-type vacuolar membrane [GO:0071627],11,8
P47108,Nucleolar pre-ribosomal-associated protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URB2 PE=1 SV=1,URB2,5,5,0.876,1.891,0.879,1.145,1.168,0.725,1.384,0.889,0.554,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15226434, ECO:0000269|PubMed:17145778}.",nucleolus [GO:0005730],5,8
P53322,High-affinity nicotinic acid transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TNA1 PE=1 SV=1,TNA1,6,6,1.82,0.779,0.76,1.384,1.971,1.81,0.497,0.522,0.431,Multi-pass membrane protein.;Membrane,integral component of plasma membrane [GO:0005887],14,8
P32873,GTPase-activating protein BEM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BEM3 PE=1 SV=3,BEM3,6,6,1.39,1.091,1.354,0.735,0.685,0.736,0.887,0.861,0.801,Cytoplasm.,cellular bud tip [GO:0005934];cytoplasm [GO:0005737];incipient cellular bud site [GO:0000131];mating projection tip [GO:0043332];cell cortex [GO:0005938],6,8
P53174,Pheromone-regulated membrane protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRM8 PE=1 SV=1,PRM8,6,6,1.13,1.112,0.86,1.208,1.06,0.786,1.571,1.154,0.712,"Multi-pass membrane protein {ECO:0000305}. Endoplasmic reticulum {ECO:0000269|PubMed:12101299, ECO:0000269|PubMed:12925749}.;Membrane {ECO:0000305}",Golgi apparatus [GO:0005794];integral component of membrane [GO:0016021];plasma membrane [GO:0005886];endoplasmic reticulum [GO:0005783],34,8
Q04301,Vacuolar basic amino acid transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VBA1 PE=1 SV=1,VBA1,8,8,2.328,1.373,1.683,0.637,0.881,1.126,0.642,0.524,0.418,Multi-pass membrane protein {ECO:0000269|PubMed:15572352}.;Vacuole membrane {ECO:0000269|PubMed:15572352},integral component of membrane [GO:0016021];fungal-type vacuole membrane [GO:0000329],15,8
